path,line,metric_name_as_stored,definition,unit,center_statistic,aggregation_level,duration,sampling_frame_rate,experimental_simulation_unit,source_type,compatible_canonical_metric,conversion_allowed,conversion_reason,ambiguity_status
annotations/neuron_annotations.csv,6,turning,"720575940644438551,DNa01,acetylcholine,,left turning,FlyWire v783 + fly-brain brain_body_bridge.py at 27cec28d5d202eb004683fb4c1a1033eec8deea0",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,turn_rate,false,requires endpoint definition and assay context,PAPER_NATIVE_TERM
annotations/neuron_annotations.csv,7,turning,"720575940627787609,DNa01,acetylcholine,,right turning,FlyWire v783 + fly-brain brain_body_bridge.py at 27cec28d5d202eb004683fb4c1a1033eec8deea0",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,turn_rate,false,requires endpoint definition and assay context,PAPER_NATIVE_TERM
annotations/neuron_annotations.csv,8,turning,"720575940604737708,DNa02,acetylcholine,,left turning,FlyWire v783 + fly-brain brain_body_bridge.py at 27cec28d5d202eb004683fb4c1a1033eec8deea0",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,turn_rate,false,requires endpoint definition and assay context,PAPER_NATIVE_TERM
annotations/neuron_annotations.csv,9,turning,"720575940629327659,DNa02,acetylcholine,,right turning,FlyWire v783 + fly-brain brain_body_bridge.py at 27cec28d5d202eb004683fb4c1a1033eec8deea0",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,turn_rate,false,requires endpoint definition and assay context,PAPER_NATIVE_TERM
calibration_targets/candidate_targets_reviewed.csv,2,speed,"pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,""w; +; UAS-Hsap/nSyb-Gal4"",21,female,FlyTracker locomotion tracking in vials,mean_planar_speed_mm_s,2.5,mm/s,mean,SE,,""3-10"",independent_vial,Figure 2A; Res",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,,false,generic speed token,AMBIGUOUS_REQUIRES_REVIEW
calibration_targets/candidate_targets_reviewed.csv,2,mean_planar_speed_mm_s,"pokrzywa_alpha_speed_day21,pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,""w; +; UAS-Hsap/nSyb-Gal4"",21,female,FlyTracker locomotion tracking in vials,mean_planar_speed_mm_s,2.5,mm/s,mean,SE,,""3-10"",independent_vial,Figure 2A; Res",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,mean_planar_speed_mm_s,false,canonical metric token,EXACTLY_DEFINED
calibration_targets/candidate_targets_reviewed.csv,3,distance,"pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,pink1,""Pink1B9"",28,not_reported_in_extracted_section,Open-field locomotor tracking,distance_traveled_mm,62.091,mm,paper_reported_center,IQR_with_min_max_ranges_reported,61.288,21,fly,Figur",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,REQUIRES_SOURCE_REVIEW,false,requires endpoint definition and assay context,PAPER_NATIVE_TERM
calibration_targets/candidate_targets_reviewed.csv,3,distance_traveled_mm,"pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,pink1,""Pink1B9"",28,not_reported_in_extracted_section,Open-field locomotor tracking,distance_traveled_mm,62.091,mm,paper_reported_center,IQR_with_min_max_ranges_reported,61.288,21,fly,Figur",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,distance_traveled_mm,false,canonical metric token,EXACTLY_DEFINED
calibration_targets/candidate_targets_reviewed.csv,3,distance,"pozo_pink1_distance_day28,pozo_2022_pink1_serotonin,pink1,""Pink1B9"",28,not_reported_in_extracted_section,Open-field locomotor tracking,distance_traveled_mm,62.091,mm,paper_reported_center,IQR_with_min_max_ranges_reported,61.288,21,fly,Figur",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,REQUIRES_SOURCE_REVIEW,false,requires endpoint definition and assay context,PAPER_NATIVE_TERM
calibration_targets/candidate_targets_reviewed.csv,4,speed,"riemensperger_speed_day5,riemensperger_2011_dopamine_deficiency,dopamine_deficiency,""DTHgFS+/-; ple"",2-5,female,Spontaneous walking in an open arena,median_planar_speed_mm_s,7.8,mm/s,median,,,13,fly,Figure 2A; Results,10.1073/pnas.101093010",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,repository_text,,false,generic speed token,AMBIGUOUS_REQUIRES_REVIEW
